Sample File,C:\Documents and Settings\Administrator\Desktop\Pier2009\SMPS\SMPS_080809_w_drier.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3010
Gas Viscosity (kg/(m*s)),1.8203e-005
Mean Free Path (m),6.65e-008
Channels/Decade,64
Multiple Charge Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Date,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09
Start Time,15:51:39,15:56:39,16:01:39,16:06:39,16:11:39,16:16:39,16:21:39,16:26:39,16:31:39,16:36:39,16:41:39,16:46:39,16:51:39,16:56:39,17:01:39
Diameter Midpoint
495.8,217.16,377.604,209.652,263.152,292.597,269.024,165.778,282.943,142.261,274.924,209.68,215.552,122.47,159.906,237.489
514.0,234.946,227.383,118.729,211,186.319,222.398,218.563,190.782,250.808,126.92,129.5,126.92,190.154,227.383,60.654
532.8,123.075,196.177,191.928,52.5897,111.959,168.798,123.075,139.338,102.562,207.742,107.261,191.928,143.587,93.6147,184.613
552.3,186.302,104.079,57.6797,124.895,115.36,119.607,207.638,120.127,124.375,124.375,119.607,99.3114,62.4475,103.559,144.15
Scan Up Time(s),120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Retrace Time(s),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scans Per Sample,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Impactor Type(cm),0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
Sheath Flow(lpm),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Aerosol Flow(lpm),0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
CPC Inlet Flow(lpm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CPC Sample Flow(lpm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Low Voltage,10.6517,10.6517,10.6517,10.6517,10.6517,10.6517,10.6517,10.6517,10.6517,10.6517,10.6517,10.6517,10.6517,10.6517,10.6517
High Voltage,9772.1,9772.1,9772.1,9772.1,9772.1,9772.1,9772.1,9772.1,9772.1,9772.1,9772.1,9772.1,9772.1,9772.1,9772.1
Lower Size(nm),12.4094,12.4094,12.4094,12.4094,12.4094,12.4094,12.4094,12.4094,12.4094,12.4094,12.4094,12.4094,12.4094,12.4094,12.4094
Upper Size(nm),562.341,562.341,562.341,562.341,562.341,562.341,562.341,562.341,562.341,562.341,562.341,562.341,562.341,562.341,562.341
Density(g/cc),1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Title,,,,,,,,,,,,,,,
